competitionId,best,average,personName,personCountryId,regionalSingleRecord,regionalAverageRecord
SemeyOpen2018,573,646,Mats Valk,Netherlands,,ER
ChacoDeInvierno2018,680,789,Bautista Bonazzola,Argentina,,SAR
CologneOpen2018,610,641,Philipp Weyer,Germany,,ER
Brasileiro2018,684,780,Caio Hideaki Sato,Brazil,,SAR
Pennsylvania2018,464,911,Tanzer Balimtas,USA,NAR,
SacCubingV2018,440,613,Max Park,USA,NAR,
IIBarueriOpen2018,687,773,Caio Hideaki Sato,Brazil,,SAR
ChinaChampionship2018,594,638,Seung Hyuk Nahm (남승혁),Korea,,AsR
SantaFeCubingSpring2018,577,748,Bautista Bonazzola,Argentina,SAR,SAR
UkrainianNationals2018,646,749,Maksym Yeli (Максим Єлі),Ukraine,,NR
UkrainianNationals2018,534,944,Mykyta Tytar (Микита Титарь),Ukraine,NR,
PolishChampionship2018,459,962,Jakub Kipa,Poland,ER,
WuhuOpen2018,347,900,Yusheng Du (杜宇生),China,WR,
BonifacioMemorial2018,512,637,Leo Borromeo,Philippines,,AsR
SwisscubingCupFinal2018,481,606,Philipp Weyer,Germany,,ER
SouthAmericanChampionship2018,558,840,Antonio Gabriel Freitas da Silva,Brazil,SAR,
LaTiendaCuberaChristmas2018,552,863,Angelo Giovanni Licetti León,Peru,SAR,
NortheastChampionship2019,424,697,Patrick Ponce,USA,NAR,
BayAreaSpeedcubin152019,496,583,Max Park,USA,,NAR
KoalaficationBrisbane2019,557,569,Feliks Zemdegs,Australia,,WR
SantaFeInvierno2019,550,779,Bautista Bonazzola,Argentina,SAR,
WarmUpSydney2019,451,651,Tymon Kolasiński,Poland,ER,
SensOpen2019,444,925,Juliette Sébastien,France,ER,
VETECJacareiOpen2019,623,735,Caio Hideaki Sato,Brazil,,SAR
UkrainianNationals2019,654,745,Mykyta Tytar (Микита Титарь),Ukraine,,NR
MarikinaCityOpenII2019,552,598,Sean Patrick Villanueva,Philippines,,AsR
OddDayinSydney2019,467,553,Feliks Zemdegs,Australia,,WR
